"","Date","Datetime.x","Flux","Std_err","Flow_Avg","VWC_Avg","EC_Avg","T_Avg","VaporPress_Avg","AirTemp_Avg","RH_Avg","AtmPress_Avg","DrumTemp_Avg","DiffPress_Avg","Rain_Tot","Datetime.y","DiffPress_Slope","DiffPress_Diff"
"1",2021-06-28 18:00:00,"28/06/2021 18:00",6360.88,116,0.94,0.03,0,19.36,1.52,19.91,65.34,1014,19.99,-4.02,0,"28/06/2021 18:00",-0.09,-0.086
"2",2021-06-28 21:00:00,"28/06/2021 21:00",6768.23,188,0.93,0.03,0,19.21,1.53,19.8,66.48,1015,19.75,-3.99,0,"28/06/2021 21:00",-0.05,-0.096
"3",2021-06-29 00:00:00,"29/06/2021 00:00",6353.05,235,0.93,0.03,0,19.16,1.51,19.7,65.8,1015,19.7,-4.01,0,"29/06/2021 00:00",-0.08,-0.091
"4",2021-06-29 03:00:00,"29/06/2021 03:00",6486.22,75,0.92,0.03,0,19.12,1.51,19.7,65.75,1015,19.66,-3.99,0,"29/06/2021 03:00",-0.04,-0.049
"5",2021-06-29 06:00:00,"29/06/2021 06:00",5961.37,129,0.92,0.03,0,19.09,1.49,19.7,64.91,1015,19.63,-3.45,0,"29/06/2021 06:00",-0.11,-0.151
"6",2021-06-29 09:00:00,"29/06/2021 09:00",6384.38,148,0.93,0.03,0,19.14,1.45,19.66,63.5,1016,19.74,-3.33,0,"29/06/2021 09:00",-0.13,-0.133
"7",2021-06-29 12:00:00,"29/06/2021 12:00",6611.56,173,0.93,0.03,0,19.49,1.47,19.75,63.81,1016,20.13,-3.65,0,"29/06/2021 12:00",-0.34,-0.297
"8",2021-06-29 18:00:00,"29/06/2021 18:00",7152.08,118,0.92,0.03,0,19.46,1.55,19.71,67.45,1016,20,-3.41,0,"29/06/2021 18:00",0.18,0.321
"9",2021-06-29 21:00:00,"29/06/2021 21:00",7112.91,141,0.91,0.03,0,19.34,1.56,19.67,68.22,1016,19.85,-3.4,0,"29/06/2021 21:00",0.14,0.151
"10",2021-06-30 00:00:00,"30/06/2021 00:00",6031.87,273,0.91,0.03,0,19.4,1.55,19.6,68.11,1015.29,19.93,-3.61,0,"30/06/2021 00:00",-0.07,-0.051
"11",2021-06-30 03:00:00,"30/06/2021 03:00",7183.41,205,0.91,0.03,0,19.3,1.55,19.6,68.24,1015,19.81,-3.3,0,"30/06/2021 03:00",0.08,0.231
"12",2021-06-30 06:00:00,"30/06/2021 06:00",6294.3,240,0.91,0.03,0,19.27,1.56,19.59,68.52,1015,19.78,-3.59,0,"30/06/2021 06:00",-0.13,-0.115
"13",2021-06-30 09:00:00,"30/06/2021 09:00",7324.42,460,0.9,0.03,0,19.41,1.58,19.61,68.94,1014,19.93,-3.34,0,"30/06/2021 09:00",0.09,0.215
"14",2021-06-30 12:00:00,"30/06/2021 12:00",7058.07,154,0.9,0.03,0,19.3,1.57,19.6,69.11,1014,19.8,-3.33,0,"30/06/2021 12:00",0.17,0.279
"15",2021-06-30 15:00:00,"30/06/2021 15:00",6039.71,187,0.9,0.03,0,19.37,1.59,19.66,69.5,1014,19.89,-3.64,0,"30/06/2021 15:00",-0.23,-0.103
"16",2021-06-30 18:00:00,"30/06/2021 18:00",6979.74,286,0.91,0.03,0,19.38,1.59,19.6,69.6,1014,19.89,-3.36,0,"30/06/2021 18:00",0.17,0.305
"17",2021-06-30 21:00:00,"30/06/2021 21:00",6556.72,340,0.91,0.03,0,19.3,1.58,19.6,69.54,1015,19.8,-3.36,0,"30/06/2021 21:00",0.2,0.14
"18",2021-07-01 00:00:00,"01/07/2021 00:00",6086.71,306,0.91,0.03,0,19.39,1.6,19.6,69.94,1014,19.91,-3.55,0,"01/07/2021 00:00",0.01,0.082
"19",2021-07-01 03:00:00,"01/07/2021 03:00",6807.4,78,0.91,0.03,0,19.33,1.61,19.6,70.52,1014,19.83,-3.31,0,"01/07/2021 03:00",0.07,0.172
